pays,code ISO3,PIB,%pop_acces_electricite,perf_logistique,Stab_po,DA(kg/personne/an),TAS,TDI,%variation_population
République de Corée,KOR,31524.94,100.0,3.69,0.38,16.7,98.13,16.04,0.54
République de Moldova,MDA,3040.32,99.98,2.52,-0.31,16.14,81.82,24.24,-0.27
République dominicaine,DOM,7513.5,100.0,2.53,0.15,35.26,90.4,11.2,2.25
République démocratique populaire lao,LAO,2439.46,93.6,2.22,0.39,10.91,78.67706249999999,41.8111111111111,3.14
République populaire démocratique de Corée,PRK,680.53,44.19,2.8958139534883722,-0.5,1.62,100.0,0.0,0.98
République-Unie de Tanzanie,TZA,972.63,32.1,2.8958139534883722,-0.57,1.88,97.22,1.85,6.17
Saint-Kitts-et-Nevis,KNA,22160.6,100.0,2.8958139534883722,0.63,55.77,0.0,100.0,1.64
Saint-Vincent-et-les Grenadines,VCT,8030.57,99.97,2.8958139534883722,0.87,72.31,0.0,112.5,0.62
Sainte-Lucie,LCA,11270.81,99.9,2.8958139534883722,0.97,56.69,9.09,90.91,1.02
Samoa,WSM,4246.47,96.8,2.8958139534883722,1.16,64.77,0.0,113.33,0.95
Sao Tomé-et-Principe,STP,1819.87,74.27,2.28,0.18,9.47,50.0,100.0,3.84
Serbie,SRB,5918.26,100.0,2.7,0.08,10.16,94.44,13.33,-0.53
Sierra Leone,SLE,487.01,23.4,2.8958139534883722,-0.04,3.97,56.67,46.67,4.41
Slovaquie,SVK,17584.6,100.0,3.22,0.9,13.9,95.95,85.14,0.23
Slovénie,SVN,23155.4,100.0,3.15,0.87,24.41,138.46,38.46,0.25
Soudan,SDN,3000.82,52.97,2.66,-1.97,1.6,97.1,2.9,4.91
Sri Lanka,LKA,4065.14,97.5,2.8958139534883722,-0.08,7.78,100.0,0.0,1.05
Suisse,CHE,83353.6,100.0,4.02,1.24,15.72,68.42,38.35,1.92
Suriname,SUR,5774.65,96.63,2.8958139534883722,0.12,31.06,40.0,72.0,2.03
Suède,SWE,53788.88,100.0,4.25,0.97,16.6,83.96,44.92,1.43
Sénégal,SEN,1385.2,61.7,2.14,-0.06,4.76,100.0,0.0,5.77
